EURO STOXX 50 Volatility Indices,,,,,,,,,
 ,VSTOXX,Sub-Index 1M,Sub-Index 2M,Sub-Index 3M,Sub-Index 6M,Sub-Index 9M,Sub-Index 12M,Sub-Index 18M,Sub-Index 24M
Date,V2TX,V6I1,V6I2,V6I3,V6I4,V6I5,V6I6,V6I7,V6I8
04.01.1999,18.2033,21.2458,17.5555,31.2179,33.3124,33.7327,33.2232,31.8535,23.8209
05.01.1999,29.6912,36.6400,28.4274,32.6922,33.7326,33.1724,32.8457,32.2904,25.0532
06.01.1999,25.1670,25.4107,25.1351,32.2186,32.6459,31.9673,32.9260,33.2871,26.0107
07.01.1999,32.5205,35.4410,32.2004,36.1265,34.5150,33.1095,33.2843,33.7269,26.2205
08.01.1999,33.2296,35.8846,33.0020,36.0813,36.3964,33.4658,33.4837,33.9227,26.3672
11.01.1999,36.8411,46.9742,36.4643,39.9139,38.0755,34.6165,34.4576,34.6615,26.6732
12.01.1999,37.5664,48.6277,37.2998,40.5525,38.7981,35.0575,37.5290,36.5965,28.0273
13.01.1999,39.7373,55.2934,39.5218,43.0083,40.1301,36.0443,38.3889,37.2219,28.1443
14.01.1999,39.1373,NA,39.9544,41.7597,40.5913,36.3330,38.6781,37.4249,28.1515
15.01.1999,38.6741,NA,39.0602,40.1232,39.2451,35.9745,37.7796,36.7660,28.0793
18.01.1999,38.5439,38.8913,41.5457,19.9845,39.4602,37.3577,38.0549,37.3479,28.5360
19.01.1999,38.7869,38.9344,41.5739,24.2038,39.2582,37.3558,38.0546,37.0269,28.3321
20.01.1999,35.5535,35.5060,38.4053,21.5040,39.1608,36.0004,37.5174,35.5070,27.3772
21.01.1999,36.9171,36.6065,40.1856,25.5530,38.9945,35.7873,38.5652,35.1679,27.1040
22.01.1999,39.9439,39.3615,43.1443,25.7346,41.1989,37.3538,39.5006,36.1562,27.3475
25.01.1999,40.7034,39.6008,42.8691,26.0348,41.0135,37.2661,39.4487,36.0909,27.3469
26.01.1999,42.7544,41.8125,44.2239,26.9608,41.5267,38.7847,40.1422,36.9609,27.9613
27.01.1999,41.7569,40.5969,43.2058,26.8408,41.2617,39.3234,40.4721,36.9170,27.5299
28.01.1999,39.1479,38.0734,40.2463,26.2720,39.5856,38.0631,39.1555,36.5641,27.4370
29.01.1999,37.6140,37.2200,37.9520,25.7061,39.0021,37.6582,38.9172,35.6565,27.3676
01.02.1999,37.0314,35.9769,37.5483,25.2350,38.2104,37.0932,39.4165,35.3163,27.2398
02.02.1999,38.6119,37.9446,38.8876,26.2028,39.3145,38.0505,38.6181,35.8899,27.4633
03.02.1999,39.9634,38.9465,40.3120,26.4374,39.6919,36.7187,38.9391,36.2264,27.5566
04.02.1999,38.7933,37.6938,39.1060,26.1416,38.6848,36.8031,37.4777,35.3183,27.1497
05.02.1999,37.8148,36.3039,38.1672,26.2114,38.3404,36.6047,37.4372,35.2394,27.1411
08.02.1999,38.7652,39.4350,38.6795,26.3882,38.7381,36.9554,36.4269,34.0488,26.4628
09.02.1999,39.5509,40.9300,39.4112,24.6055,39.5962,37.7845,37.2343,34.5993,26.5442
10.02.1999,40.3040,38.4648,40.4405,25.6599,39.6604,38.1404,37.6567,34.8869,26.2123
11.02.1999,37.8309,36.1257,37.9248,27.8890,38.5684,36.9312,37.1189,34.6178,26.2268
12.02.1999,36.0635,35.8203,36.0732,27.3743,37.7676,35.1549,36.7671,33.6919,25.9808
15.02.1999,37.6696,37.9043,37.6678,28.4591,38.9226,36.0185,37.4036,34.0168,26.1682
16.02.1999,36.0135,36.7605,36.0116,27.6301,37.7219,35.1465,36.5098,33.4210,25.7469
17.02.1999,36.6858,41.7057,36.7485,32.5259,38.2923,35.5409,36.7883,33.6789,25.3548
18.02.1999,35.5630,NA,35.8934,31.6883,37.7377,35.3486,35.6195,33.5108,25.5878
19.02.1999,33.9143,NA,34.4661,30.5441,36.3745,33.9586,35.1459,32.9879,25.5611
22.02.1999,32.0859,32.3856,31.4644,18.4962,34.0876,33.3815,35.2273,32.5556,25.4772
23.02.1999,31.2627,31.4928,30.8899,19.2676,33.3371,31.7916,33.2736,30.6185,24.3578
24.02.1999,30.7791,30.5968,31.0124,28.8234,32.5125,31.8964,33.3447,30.4194,24.2909
25.02.1999,31.7813,32.3411,31.1821,28.8819,32.9914,32.9456,33.5996,31.0896,24.5321
26.02.1999,30.7952,30.6143,30.9510,29.4258,33.8264,32.7603,33.4976,30.9780,24.4882
01.03.1999,32.4626,33.4818,31.9400,29.8307,35.0251,33.2811,34.1977,31.3163,24.6198
02.03.1999,32.0338,32.6807,31.7593,29.8301,34.7330,33.5925,34.1473,31.2531,24.6054
03.03.1999,31.9273,34.0188,31.1650,30.0930,35.4818,34.2708,33.7941,31.9149,25.0004
04.03.1999,30.8785,30.8178,30.8961,29.2290,34.8271,33.0851,33.4653,31.6027,24.9391
05.03.1999,29.2587,28.2572,29.4932,28.5612,33.4203,32.4824,32.8558,30.9313,24.7408
08.03.1999,29.8568,28.3003,30.0482,29.0723,34.0900,33.0006,33.1463,31.2586,24.8732
09.03.1999,28.9631,28.6321,28.9958,28.0445,32.2985,31.3369,32.6787,30.1239,24.8788
10.03.1999,27.9453,27.9845,27.9423,27.3671,31.6859,30.9900,32.2634,30.0080,24.8148
11.03.1999,27.0558,26.8203,27.0690,26.9882,30.8844,30.4218,32.0258,29.7684,24.7368
12.03.1999,26.9831,27.1633,26.9759,27.4915,30.7992,31.5937,31.6632,29.7550,24.2243
15.03.1999,27.7671,28.9361,27.7575,27.5628,29.5476,30.4632,32.0961,29.6898,24.1809
16.03.1999,27.4854,30.7105,27.4767,26.5006,29.3262,30.2737,31.5106,29.5555,24.1147
17.03.1999,28.1560,39.9562,28.1738,26.8859,29.9740,30.5874,31.6762,29.7420,24.2024
18.03.1999,28.1701,NA,28.2756,26.8279,30.2652,30.5058,31.6294,29.6921,24.1850
19.03.1999,26.9936,NA,27.1583,25.8967,29.1580,29.5980,30.3265,29.3222,23.9983
22.03.1999,27.1380,27.5911,26.0376,29.1558,30.1010,30.4506,16.7777,29.4299,24.0829
23.03.1999,28.8415,29.4503,27.6684,30.9687,31.1248,32.9708,17.2131,30.1570,24.3843
24.03.1999,29.9038,30.5815,28.8473,32.5818,31.5475,33.2247,18.8570,30.4928,24.5049
25.03.1999,28.0526,28.1710,27.9041,30.8801,30.8360,32.8349,18.8588,29.9788,24.3411
26.03.1999,28.5730,28.8720,28.2587,31.6319,31.4517,33.2219,18.9011,30.3046,24.4396
29.03.1999,27.3190,27.1928,27.3978,30.5854,31.7184,32.9700,18.8987,29.9632,24.3537
30.03.1999,27.2308,27.0823,27.3097,30.5739,31.8719,32.7423,19.2774,30.8774,24.6207
31.03.1999,25.2455,24.5876,25.5382,29.1936,30.1732,32.7511,19.2719,30.7433,24.5956
01.04.1999,24.6067,23.8783,24.8816,28.2215,29.7991,32.1417,19.2203,30.5071,24.5044
06.04.1999,24.6069,24.6959,24.5926,28.3695,28.5524,32.0343,18.4936,29.2270,24.1474
07.04.1999,25.0337,25.5237,24.9693,29.0502,28.6934,32.1781,18.7253,30.6390,24.2918
08.04.1999,24.9114,25.6290,24.8353,28.8483,28.1075,31.8562,19.8863,30.2566,24.2486
09.04.1999,24.3759,25.6521,24.2681,28.7018,27.6957,31.3257,19.6517,29.5373,23.8537
12.04.1999,25.2893,33.3963,24.9816,28.9779,28.0595,30.3882,19.5734,29.5034,23.8749
13.04.1999,24.4003,33.0476,24.1863,28.7679,27.9205,30.2346,19.4236,29.0652,23.7307
14.04.1999,25.4744,33.5695,25.3658,29.5445,28.3267,30.4513,19.5493,30.1443,24.8867
15.04.1999,26.5825,NA,27.5811,29.7352,29.0303,30.6049,19.7063,30.4843,25.0456
16.04.1999,25.7353,NA,26.3517,28.0085,28.9745,30.6186,19.7365,30.5112,24.5180
19.04.1999,25.0928,25.3740,27.5039,15.6315,27.2603,30.1315,19.0847,30.0768,24.3388
20.04.1999,26.7889,26.9088,29.0413,16.7926,28.5327,30.7176,20.0155,29.9631,24.6529
21.04.1999,25.7711,25.7227,28.6321,18.1701,28.8435,30.3583,19.0844,30.1592,24.6032
22.04.1999,25.2493,24.9981,27.8716,18.2366,28.3264,30.1297,19.4068,29.9124,24.5050
23.04.1999,25.2358,24.8019,27.6015,18.2029,28.1193,29.9432,19.4302,29.9434,24.3532
26.04.1999,25.7839,25.0609,27.2021,18.1525,27.4425,29.7636,19.3944,28.9226,24.0036
27.04.1999,24.3193,23.3255,25.8344,17.7952,26.2445,28.8701,20.0500,27.7131,23.8373
28.04.1999,24.4700,23.6557,25.4809,18.7896,26.0839,29.0974,20.0187,27.5868,23.8676
29.04.1999,24.7805,23.4417,26.1137,18.8602,26.3735,29.0745,20.0599,27.6569,23.9026
30.04.1999,23.7370,21.9936,25.1496,18.5917,27.6279,28.6551,19.9571,27.4030,23.7998
03.05.1999,24.1008,22.2449,24.9784,20.4622,27.1895,28.5738,19.5080,27.1429,23.7758
04.05.1999,24.4724,23.5684,24.8407,20.3142,27.2104,28.8191,19.5666,27.1567,23.8220
05.05.1999,25.6464,24.1194,26.1579,20.3643,28.0886,28.7185,19.7478,27.8026,23.6319
06.05.1999,26.9529,26.0376,27.2123,20.4566,28.2667,29.1427,20.1251,27.9493,23.6914
07.05.1999,27.0848,26.3707,27.2527,20.4882,28.5898,29.3326,20.3070,28.3027,24.0159
10.05.1999,27.3060,26.1643,27.4472,20.8668,29.0063,29.7125,20.2052,29.0457,24.0204
11.05.1999,26.5551,24.6244,26.7394,20.9398,28.4819,29.3446,20.1220,28.7391,24.0425
12.05.1999,27.5905,25.3399,27.7542,20.8522,28.8245,29.5058,20.2450,28.9203,24.1177
14.05.1999,28.3111,28.2791,28.3123,20.5754,29.2958,29.9215,20.2633,29.5372,24.3304
17.05.1999,30.5288,34.5427,30.4945,20.1480,30.7020,31.0848,20.7257,29.2765,24.7546
18.05.1999,30.8287,33.0406,30.8228,20.9808,30.9908,31.5555,20.7587,30.3786,25.0562
19.05.1999,28.1833,30.2472,28.2785,21.4171,30.3117,30.9738,20.8900,30.1939,24.9280
20.05.1999,25.3421,NA,25.7008,20.9791,29.0939,29.7599,20.6334,29.8558,24.4678
21.05.1999,23.4528,NA,23.9326,20.4730,28.2300,29.3988,20.2523,29.8620,24.5781
25.05.1999,26.6217,27.0551,25.9111,15.3914,30.2036,30.4580,20.6681,31.3420,25.4730
26.05.1999,26.6568,27.1819,25.9645,16.9063,30.2359,30.7357,20.7453,30.1935,24.8655
27.05.1999,27.2467,27.7757,26.6794,16.5736,31.4326,31.4559,20.9325,30.6186,25.0129
28.05.1999,25.5676,25.3970,25.7145,17.9225,30.0950,30.8904,20.5658,30.5038,24.9742
31.05.1999,24.9911,24.7206,25.1254,18.2064,30.1491,30.8826,20.7206,30.2172,24.8338
01.06.1999,25.1583,24.6443,25.3701,18.3143,30.0235,31.1465,20.6901,30.3358,24.9139
02.06.1999,25.2086,24.6682,25.3943,18.2058,29.5113,30.7920,20.6712,30.2930,24.9009
03.06.1999,25.6438,25.4886,25.6886,18.3218,29.6492,30.8681,20.7048,30.3283,24.9283
